venue,trade_id,trade_size
VenueA_reference,1,31.3535
VenueA_reference,2,4.0477
VenueA_reference,3,20
VenueA_reference,4,20
VenueA_reference,5,43.1659
VenueA_reference,6,50
VenueA_reference,7,139.4945
VenueA_reference,8,20
VenueA_reference,9,110.4269
VenueA_reference,10,57.3857
VenueA_reference,11,15.4071
VenueA_reference,12,106.7233
VenueA_reference,13,35.4386
VenueA_reference,14,16.5661
VenueA_reference,15,9.5066
VenueA_reference,16,20
VenueA_reference,17,50
VenueA_reference,18,39.2459
VenueA_reference,19,33.4408
VenueA_reference,20,50
VenueA_reference,21,20
VenueA_reference,22,9.7504
VenueA_reference,23,91.303
VenueA_reference,24,9.107
VenueA_reference,25,101.512
VenueA_reference,26,20
VenueA_reference,27,4.0654
VenueA_reference,28,21.2723
VenueA_reference,29,48.0979
VenueA_reference,30,32.2071
VenueA_reference,31,4.3975
VenueA_reference,32,10
VenueA_reference,33,9.4151
VenueA_reference,34,33.287
VenueA_reference,35,17.2788
VenueA_reference,36,23.9072
VenueA_reference,37,41.3976
VenueA_reference,38,27.5569
VenueA_reference,39,20.7534
VenueA_reference,40,40.1964
VenueA_reference,41,20
VenueA_reference,42,12.0189
VenueA_reference,43,10
VenueA_reference,44,32.8414
VenueA_reference,45,10
VenueA_reference,46,30.9113
VenueA_reference,47,50
VenueA_reference,48,19.9813
VenueA_reference,49,81.7065
VenueA_reference,50,7.7427
VenueA_reference,51,60
VenueA_reference,52,21.0629
VenueA_reference,53,12.1382
VenueA_reference,54,10
VenueA_reference,55,20.4843
VenueA_reference,56,59.9913
VenueA_reference,57,30
VenueA_reference,58,33.0067
VenueA_reference,59,3.9473
VenueA_reference,60,50.308
VenueA_reference,61,10.1276
VenueA_reference,62,40
VenueA_reference,63,59.6354
VenueA_reference,64,34.9052
VenueA_reference,65,40
VenueA_reference,66,39.9313
VenueA_reference,67,37.3663
VenueA_reference,68,39.0904
VenueA_reference,69,9.6755
VenueA_reference,70,70
VenueA_reference,71,169.2344
VenueA_reference,72,8.8246
VenueA_reference,73,5.4254
VenueA_reference,74,50
VenueA_reference,75,33.5449
VenueA_reference,76,7.2908
VenueA_reference,77,33.7409
VenueA_reference,78,30
VenueA_reference,79,112.7245
VenueA_reference,80,30
VenueA_reference,81,58.3448
VenueA_reference,82,74.4496
VenueA_reference,83,50.7591
